Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0016016849, 22.03.2021, 16:02, 18.500000, 296.000000,
CH0016016849, 29.03.2021, 09:17, 18.050000, 8.000000,
CH0016016849, 18.12.2025, 14:33, 22.600000, 10.000000,
CH0016016849, 18.12.2025, 14:33, 22.500000, 30.000000,
CH0016016849, 22.12.2025, 16:59, 22.600000, 100.000000,
CH0016016849, 23.12.2025, 10:28, 22.600000, 8.000000,
CH0016016849, 23.12.2025, 14:17, 28.950000, 60.000000,
CH0016016849, 23.12.2025, 14:17, 29.000000, 40.000000,
CH0016016849, 30.04.2021, 08:30, 20.000000, 10.000000,
CH0016016849, 21.05.2021, 09:53, 19.000000, 35.000000,
CH0016016849, 14.06.2021, 15:29, 18.550000, 50.000000,
CH0016016849, 24.06.2021, 16:53, 18.550000, 5.000000,
CH0016016849, 07.07.2021, 14:22, 18.550000, 2.000000,
CH0016016849, 20.07.2021, 15:01, 18.500000, 8.000000,
CH0016016849, 20.07.2021, 15:23, 18.500000, 5.000000,
CH0016016849, 22.07.2021, 14:40, 18.500000, 15.000000,
CH0016016849, 23.07.2021, 09:59, 18.500000, 3.000000,
CH0016016849, 30.07.2021, 15:10, 18.500000, 5.000000,
CH0016016849, 03.08.2021, 08:40, 18.500000, 1.000000,
CH0016016849, 21.01.2026, 16:45, 25.950000, 50.000000,
CH0016016849, 17.08.2021, 11:52, 18.750000, 1.000000,
CH0016016849, 06.09.2021, 10:44, 18.750000, 6.000000,
CH0016016849, 17.09.2021, 12:27, 18.750000, 10.000000,
CH0016016849, 29.09.2021, 10:43, 18.750000, 5.000000,
CH0016016849, 05.02.2026, 15:33, 29.900000, 20.000000,
CH0016016849, 05.10.2021, 16:25, 19.500000, 30.000000,
CH0016016849, 20.10.2021, 09:38, 18.850000, 120.000000,
CH0016016849, 10.02.2026, 10:13, 26.500000, 120.000000,
CH0016016849, 10.02.2026, 10:13, 25.950000, 70.000000,
CH0016016849, 10.02.2026, 10:13, 26.000000, 114.000000,
CH0016016849, 10.02.2026, 10:13, 25.650000, 80.000000,
CH0016016849, 10.02.2026, 10:13, 25.600000, 116.000000,
CH0016016849, 02.11.2021, 16:09, 19.000000, 30.000000,
CH0016016849, 03.11.2021, 10:22, 19.100000, 17.000000,
CH0016016849, 16.11.2021, 14:17, 19.100000, 3.000000,
CH0016016849, 22.11.2021, 12:17, 18.900000, 10.000000,
CH0016016849, 26.11.2021, 10:19, 18.850000, 5.000000,
CH0016016849, 26.11.2021, 10:19, 18.750000, 2.000000,
CH0016016849, 26.11.2021, 11:02, 18.750000, 4.000000,
CH0016016849, 26.11.2021, 11:12, 18.750000, 2.000000,
CH0016016849, 01.12.2021, 09:45, 18.500000, 25.000000,
CH0016016849, 02.12.2021, 16:43, 18.500000, 20.000000,
CH0016016849, 17.12.2021, 14:49, 18.500000, 10.000000,
CH0016016849, 23.12.2021, 11:14, 18.500000, 5.000000,
CH0016016849, 10.01.2022, 14:22, 19.000000, 50.000000,
CH0016016849, 13.01.2022, 08:32, 19.000000, 1.000000,
CH0016016849, 05.03.2026, 11:00, 25.600000, 4.000000,
CH0016016849, 05.03.2026, 11:00, 25.050000, 66.000000,
CH0016016849, 21.02.2022, 10:16, 19.000000, 8.000000,
CH0016016849, 24.02.2022, 08:30, 19.000000, 15.000000,
CH0016016849, 18.03.2026, 11:14, 25.050000, 94.000000,
CH0016016849, 03.03.2022, 16:34, 20.500000, 100.000000,
CH0016016849, 18.03.2026, 11:14, 25.000000, 6.000000,
CH0016016849, 10.03.2022, 12:19, 19.000000, 30.000000,
CH0016016849, 23.03.2026, 13:35, 25.000000, 114.000000,
CH0016016849, 23.03.2026, 13:35, 25.000000, 3.000000,
CH0016016849, 25.03.2022, 08:32, 19.000000, 4.000000,
CH0016016849, 05.04.2022, 13:45, 19.000000, 10.000000,
CH0016016849, 28.04.2022, 09:41, 21.000000, 250.000000,
CH0016016849, 29.04.2022, 09:14, 21.000000, 167.000000,
CH0016016849, 10.04.2026, 08:31, 24.000000, 5.000000,
CH0016016849, 10.04.2026, 12:56, 25.000000, 10.000000,
CH0016016849, 23.05.2022, 16:34, 20.000000, 10.000000,
CH0016016849, 24.05.2022, 14:38, 20.000000, 200.000000,
CH0016016849, 07.06.2022, 14:48, 19.000000, 20.000000,
CH0016016849, 10.06.2022, 09:00, 19.000000, 2.000000,
CH0016016849, 20.04.2026, 08:35, 23.600000, 39.000000,
CH0016016849, 20.04.2026, 08:35, 23.050000, 40.000000,
CH0016016849, 20.04.2026, 08:35, 22.600000, 12.000000,
CH0016016849, 20.04.2026, 08:35, 20.800000, 9.000000,
CH0016016849, 21.04.2026, 10:08, 24.900000, 100.000000,
CH0016016849, 21.04.2026, 10:20, 24.900000, 20.000000,
CH0016016849, 21.04.2026, 10:20, 25.000000, 80.000000,
CH0016016849, 21.04.2026, 11:14, 25.000000, 364.000000,
CH0016016849, 11.07.2022, 09:05, 19.000000, 20.000000,
CH0016016849, 26.07.2022, 09:48, 19.000000, 40.000000,
CH0016016849, 25.08.2022, 16:02, 19.000000, 15.000000,
CH0016016849, 08.09.2022, 08:31, 19.000000, 2.000000,
CH0016016849, 15.09.2022, 09:33, 21.000000, 3.000000,
CH0016016849, 15.09.2022, 09:33, 21.000000, 27.000000,
CH0016016849, 20.09.2022, 15:46, 21.000000, 70.000000,
CH0016016849, 31.10.2022, 08:31, 19.000000, 10.000000,
CH0016016849, 11.11.2022, 13:10, 19.000000, 100.000000,
CH0016016849, 14.11.2022, 13:25, 20.500000, 2.000000,
CH0016016849, 29.11.2022, 12:54, 18.500000, 5.000000,
CH0016016849, 14.12.2022, 08:41, 20.500000, 100.000000,
CH0016016849, 14.12.2022, 08:56, 18.500000, 1.000000,
CH0016016849, 14.12.2022, 08:41, 21.000000, 90.000000,
CH0016016849, 14.12.2022, 16:32, 18.500000, 5.000000,
CH0016016849, 20.12.2022, 08:42, 21.000000, 5.000000,
CH0016016849, 03.01.2023, 08:32, 16.550000, 3.000000,
CH0016016849, 10.01.2023, 11:01, 20.950000, 20.000000,
CH0016016849, 26.01.2023, 09:45, 20.000000, 30.000000,
CH0016016849, 02.02.2023, 09:57, 20.000000, 70.000000,
CH0016016849, 02.02.2023, 14:25, 20.000000, 130.000000,
CH0016016849, 02.02.2023, 14:25, 20.000000, 200.000000,
CH0016016849, 15.02.2023, 10:09, 19.500000, 50.000000,
CH0016016849, 15.02.2023, 10:09, 18.000000, 50.000000,
CH0016016849, 23.02.2023, 08:30, 18.000000, 20.000000,
CH0016016849, 07.03.2023, 14:25, 18.000000, 10.000000,
CH0016016849, 13.03.2023, 16:50, 18.000000, 20.000000,
CH0016016849, 13.03.2023, 16:50, 18.000000, 10.000000,
CH0016016849, 17.03.2023, 10:48, 18.000000, 17.000000,
CH0016016849, 28.03.2023, 14:57, 18.000000, 10.000000,
CH0016016849, 30.03.2023, 14:14, 18.000000, 68.000000,
CH0016016849, 03.04.2023, 08:32, 18.000000, 20.000000,
CH0016016849, 12.04.2023, 15:57, 20.000000, 1.000000,
CH0016016849, 13.04.2023, 13:16, 20.950000, 1.000000,
CH0016016849, 13.04.2023, 14:08, 20.950000, 87.000000,
CH0016016849, 13.04.2023, 14:33, 20.950000, 87.000000,
CH0016016849, 13.04.2023, 14:38, 18.500000, 29.000000,
CH0016016849, 24.04.2023, 14:48, 19.300000, 40.000000,
CH0016016849, 12.05.2023, 08:53, 19.300000, 50.000000,
CH0016016849, 25.05.2023, 11:15, 19.300000, 4.000000,
CH0016016849, 30.05.2023, 08:32, 19.300000, 5.000000,
CH0016016849, 16.06.2023, 09:14, 19.400000, 20.000000,
CH0016016849, 16.06.2023, 13:56, 22.000000, 154.000000,
CH0016016849, 16.06.2023, 13:56, 21.500000, 246.000000,
CH0016016849, 30.06.2023, 08:51, 19.500000, 15.000000,
CH0016016849, 07.07.2023, 14:46, 19.500000, 100.000000,
CH0016016849, 13.07.2023, 08:30, 20.000000, 42.000000,
CH0016016849, 17.07.2023, 15:43, 20.000000, 8.000000,
CH0016016849, 20.09.2023, 14:29, 19.500000, 96.000000,
CH0016016849, 20.09.2023, 14:29, 19.100000, 200.000000,
CH0016016849, 20.09.2023, 14:29, 19.000000, 4.000000,
CH0016016849, 27.09.2023, 08:32, 19.200000, 10.000000,
CH0016016849, 17.10.2023, 08:31, 19.500000, 50.000000,
CH0016016849, 17.10.2023, 08:31, 19.500000, 10.000000,
CH0016016849, 21.11.2023, 09:16, 19.500000, 5.000000,
CH0016016849, 23.11.2023, 11:29, 19.500000, 14.000000,
CH0016016849, 24.11.2023, 14:39, 19.500000, 111.000000,
CH0016016849, 24.11.2023, 14:39, 19.200000, 189.000000,
CH0016016849, 07.12.2023, 14:57, 19.200000, 19.000000,
CH0016016849, 07.12.2023, 14:57, 19.200000, 1.000000,
CH0016016849, 29.12.2023, 15:11, 19.200000, 1.000000,
CH0016016849, 03.01.2024, 08:31, 21.450000, 10.000000,
CH0016016849, 11.01.2024, 08:31, 19.050000, 5.000000,
CH0016016849, 16.01.2024, 13:16, 21.450000, 5.000000,
CH0016016849, 07.02.2024, 08:30, 19.050000, 100.000000,
CH0016016849, 29.02.2024, 08:32, 20.500000, 200.000000,
CH0016016849, 29.02.2024, 09:48, 19.050000, 68.000000,
CH0016016849, 01.03.2024, 11:56, 19.500000, 468.000000,
