Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0039074692, 14.01.2026, 13:12, 442.000000, 25.000000,
CH0039074692, 14.01.2026, 13:27, 440.000000, 25.000000,
CH0039074692, 26.07.2021, 15:43, 390.000000, 25.000000,
CH0039074692, 26.07.2021, 15:43, 390.000000, 5.000000,
CH0039074692, 24.09.2021, 08:31, 390.000000, 20.000000,
CH0039074692, 12.11.2021, 15:27, 390.000000, 5.000000,
CH0039074692, 12.11.2021, 15:27, 390.000000, 10.000000,
CH0039074692, 12.11.2021, 16:51, 390.000000, 35.000000,
CH0039074692, 23.03.2022, 11:41, 385.000000, 20.000000,
CH0039074692, 02.04.2026, 09:47, 438.000000, 25.000000,
CH0039074692, 07.04.2026, 08:31, 499.000000, 2.000000,
CH0039074692, 28.04.2022, 11:32, 386.000000, 10.000000,
CH0039074692, 28.04.2022, 11:32, 385.000000, 10.000000,
CH0039074692, 05.07.2022, 10:48, 385.000000, 70.000000,
CH0039074692, 05.07.2022, 10:48, 380.000000, 4.000000,
CH0039074692, 18.11.2022, 15:47, 380.000000, 20.000000,
CH0039074692, 06.10.2023, 08:52, 400.000000, 20.000000,
CH0039074692, 27.03.2024, 13:56, 410.000000, 2.000000,
CH0039074692, 15.07.2024, 15:03, 411.000000, 10.000000,
CH0039074692, 07.10.2024, 15:28, 414.000000, 1.000000,
CH0039074692, 25.02.2025, 10:20, 425.000000, 10.000000,
CH0039074692, 28.03.2025, 08:30, 572.000000, 1.000000,
CH0039074692, 26.06.2025, 08:31, 435.000000, 10.000000,
CH0039074692, 26.06.2025, 08:31, 434.000000, 50.000000,
CH0039074692, 26.06.2025, 08:31, 430.000000, 20.000000,
CH0039074692, 29.08.2025, 15:54, 500.000000, 30.000000,
CH0039074692, 26.09.2025, 15:49, 438.000000, 2.000000,
CH0039074692, 23.10.2025, 11:06, 436.000000, 2.000000,
CH0039074692, 23.10.2025, 11:06, 438.000000, 18.000000,
CH0039074692, 23.06.2008, 09:39, 401.000000, 20.000000,
CH0039074692, 02.07.2008, 13:43, 450.000000, 40.000000,
CH0039074692, 06.10.2008, 14:14, 415.000000, 50.000000,
CH0039074692, 07.10.2008, 09:26, 400.000000, 50.000000,
CH0039074692, 08.10.2008, 10:10, 400.000000, 25.000000,
CH0039074692, 16.10.2008, 11:13, 375.000000, 50.000000,
CH0039074692, 21.10.2008, 11:33, 410.000000, 4.000000,
CH0039074692, 23.10.2008, 12:19, 365.000000, 75.000000,
CH0039074692, 28.10.2008, 14:33, 350.000000, 20.000000,
CH0039074692, 28.10.2008, 14:33, 350.000000, 50.000000,
CH0039074692, 25.11.2008, 09:38, 370.000000, 5.000000,
CH0039074692, 25.11.2008, 09:38, 370.000000, 25.000000,
CH0039074692, 29.01.2009, 11:19, 370.000000, 20.000000,
CH0039074692, 06.02.2009, 15:29, 385.000000, 12.000000,
CH0039074692, 09.02.2009, 09:03, 384.000000, 2.000000,
CH0039074692, 09.02.2009, 09:03, 385.000000, 4.000000,
CH0039074692, 10.02.2009, 09:53, 365.000000, 8.000000,
CH0039074692, 11.02.2009, 14:49, 385.000000, 30.000000,
CH0039074692, 12.02.2009, 13:54, 385.000000, 20.000000,
CH0039074692, 12.02.2009, 13:54, 385.000000, 50.000000,
CH0039074692, 12.02.2009, 16:27, 390.000000, 60.000000,
CH0039074692, 07.05.2009, 13:28, 385.000000, 50.000000,
CH0039074692, 08.05.2009, 08:06, 395.000000, 1.000000,
CH0039074692, 08.05.2009, 09:26, 395.000000, 50.000000,
CH0039074692, 13.05.2009, 10:18, 395.000000, 1.000000,
CH0039074692, 27.05.2009, 16:23, 365.000000, 5.000000,
CH0039074692, 02.06.2009, 15:27, 395.000000, 5.000000,
CH0039074692, 10.06.2009, 10:48, 395.000000, 15.000000,
CH0039074692, 30.07.2009, 14:55, 365.000000, 20.000000,
CH0039074692, 07.08.2009, 15:32, 395.000000, 12.000000,
CH0039074692, 28.01.2010, 09:45, 350.000000, 5.000000,
CH0039074692, 04.03.2010, 15:34, 375.000000, 59.000000,
CH0039074692, 05.03.2010, 16:57, 351.000000, 20.000000,
CH0039074692, 15.03.2010, 13:38, 351.000000, 10.000000,
CH0039074692, 10.08.2010, 08:07, 341.000000, 20.000000,
CH0039074692, 21.12.2010, 08:02, 345.000000, 10.000000,
CH0039074692, 04.03.2011, 08:42, 375.000000, 1.000000,
CH0039074692, 17.03.2011, 08:56, 345.000000, 25.000000,
CH0039074692, 19.08.2011, 10:34, 360.000000, 25.000000,
CH0039074692, 19.08.2011, 10:34, 350.000000, 14.000000,
CH0039074692, 19.08.2011, 10:46, 350.000000, 145.000000,
CH0039074692, 08.11.2011, 15:25, 380.000000, 10.000000,
CH0039074692, 22.12.2011, 08:47, 380.000000, 15.000000,
CH0039074692, 27.12.2011, 08:50, 360.000000, 5.000000,
CH0039074692, 09.02.2012, 08:03, 385.000000, 5.000000,
CH0039074692, 09.02.2012, 08:03, 390.000000, 15.000000,
CH0039074692, 22.05.2012, 16:58, 360.000000, 20.000000,
CH0039074692, 05.06.2012, 08:09, 360.000000, 20.000000,
CH0039074692, 19.06.2012, 10:07, 350.000000, 20.000000,
CH0039074692, 26.06.2012, 14:26, 350.000000, 40.000000,
CH0039074692, 08.08.2012, 14:42, 360.000000, 20.000000,
CH0039074692, 09.08.2012, 14:52, 365.000000, 20.000000,
CH0039074692, 13.09.2012, 13:22, 350.000000, 15.000000,
CH0039074692, 18.09.2012, 08:00, 370.000000, 1.000000,
CH0039074692, 21.11.2012, 13:57, 365.000000, 19.000000,
CH0039074692, 09.01.2013, 16:18, 364.000000, 20.000000,
CH0039074692, 07.03.2013, 14:41, 355.000000, 25.000000,
CH0039074692, 19.03.2013, 11:52, 375.000000, 50.000000,
CH0039074692, 26.03.2013, 10:24, 375.000000, 10.000000,
CH0039074692, 26.03.2013, 10:24, 380.000000, 10.000000,
CH0039074692, 04.04.2013, 08:22, 355.000000, 3.000000,
CH0039074692, 01.10.2013, 15:10, 375.000000, 5.000000,
CH0039074692, 01.10.2013, 15:10, 360.000000, 20.000000,
CH0039074692, 01.10.2013, 15:19, 355.000000, 135.000000,
CH0039074692, 11.10.2013, 10:43, 355.000000, 10.000000,
CH0039074692, 22.10.2013, 16:08, 355.000000, 10.000000,
CH0039074692, 20.01.2014, 10:00, 355.000000, 20.000000,
CH0039074692, 23.01.2014, 16:25, 355.000000, 7.000000,
CH0039074692, 23.01.2014, 16:25, 355.000000, 3.000000,
CH0039074692, 27.01.2014, 10:38, 355.000000, 17.000000,
CH0039074692, 27.01.2014, 10:38, 350.000000, 3.000000,
CH0039074692, 05.03.2014, 14:33, 350.000000, 5.000000,
CH0039074692, 06.03.2014, 16:28, 350.000000, 2.000000,
CH0039074692, 18.06.2014, 08:26, 352.000000, 10.000000,
CH0039074692, 18.06.2014, 08:26, 350.000000, 16.000000,
CH0039074692, 18.06.2014, 14:03, 345.000000, 20.000000,
CH0039074692, 18.06.2014, 14:07, 345.000000, 94.000000,
CH0039074692, 18.07.2014, 09:27, 345.000000, 80.000000,
CH0039074692, 31.07.2014, 14:29, 345.000000, 50.000000,
CH0039074692, 07.08.2014, 11:55, 340.000000, 10.000000,
CH0039074692, 22.07.2015, 09:43, 350.000000, 5.000000,
CH0039074692, 19.01.2016, 10:36, 335.000000, 10.000000,
CH0039074692, 16.02.2016, 09:59, 335.000000, 10.000000,
CH0039074692, 16.06.2016, 16:45, 355.000000, 50.000000,
CH0039074692, 26.04.2017, 12:02, 385.000000, 20.000000,
CH0039074692, 16.05.2017, 13:53, 350.000000, 100.000000,
CH0039074692, 07.07.2017, 08:36, 385.000000, 1.000000,
CH0039074692, 21.08.2017, 10:19, 385.000000, 2.000000,
CH0039074692, 24.01.2018, 14:45, 385.000000, 20.000000,
CH0039074692, 08.05.2018, 09:04, 415.000000, 8.000000,
CH0039074692, 14.05.2018, 09:59, 415.000000, 10.000000,
CH0039074692, 31.05.2018, 14:08, 450.000000, 10.000000,
CH0039074692, 18.07.2018, 14:07, 432.000000, 1.000000,
CH0039074692, 18.07.2018, 14:07, 430.000000, 19.000000,
CH0039074692, 10.08.2018, 14:37, 430.000000, 13.000000,
CH0039074692, 13.08.2018, 10:26, 430.000000, 7.000000,
CH0039074692, 30.08.2018, 11:31, 430.000000, 20.000000,
CH0039074692, 24.09.2018, 10:50, 430.000000, 23.000000,
CH0039074692, 24.09.2018, 10:50, 410.000000, 47.000000,
CH0039074692, 01.10.2018, 10:40, 415.000000, 25.000000,
CH0039074692, 07.03.2019, 08:34, 425.000000, 12.000000,
CH0039074692, 21.08.2019, 08:31, 440.000000, 92.000000,
CH0039074692, 15.08.2019, 16:15, 440.000000, 20.000000,
CH0039074692, 20.08.2019, 15:32, 440.000000, 18.000000,
CH0039074692, 30.09.2019, 15:40, 441.000000, 4.000000,
CH0039074692, 30.09.2019, 16:40, 440.000000, 6.000000,
CH0039074692, 14.11.2019, 13:32, 340.000000, 20.000000,
CH0039074692, 03.01.2020, 11:46, 340.000000, 20.000000,
CH0039074692, 12.02.2020, 12:05, 390.000000, 15.000000,
CH0039074692, 12.02.2020, 12:05, 390.000000, 45.000000,
CH0039074692, 03.03.2020, 16:45, 380.000000, 19.000000,
CH0039074692, 02.03.2020, 09:40, 380.000000, 1.000000,
CH0039074692, 03.03.2020, 16:56, 380.000000, 1.000000,
CH0039074692, 30.04.2020, 10:41, 380.000000, 10.000000,
CH0039074692, 26.05.2020, 16:57, 420.000000, 1.000000,
CH0039074692, 11.08.2020, 15:30, 372.000000, 5.000000,
CH0039074692, 11.09.2020, 14:53, 380.000000, 10.000000,
CH0039074692, 16.09.2020, 08:41, 380.000000, 10.000000,
CH0039074692, 04.01.2021, 10:31, 410.000000, 10.000000,
CH0039074692, 15.02.2021, 09:54, 415.000000, 5.000000,
