Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0006234014, 23.03.2021, 09:59, 27.000000, 100.000000,
CH0006234014, 01.04.2021, 11:42, 27.000000, 7.000000,
CH0006234014, 19.12.2025, 11:13, 19.000000, 28.000000,
CH0006234014, 19.12.2025, 14:00, 19.000000, 28.000000,
CH0006234014, 13.04.2021, 10:04, 27.000000, 35.000000,
CH0006234014, 13.04.2021, 12:59, 28.950000, 30.000000,
CH0006234014, 13.04.2021, 12:59, 29.000000, 57.000000,
CH0006234014, 13.04.2021, 12:59, 30.000000, 13.000000,
CH0006234014, 22.12.2025, 12:24, 20.000000, 1.000000,
CH0006234014, 14.04.2021, 10:07, 27.000000, 228.000000,
CH0006234014, 19.12.2025, 16:13, 20.000000, 10.000000,
CH0006234014, 29.12.2025, 08:55, 18.600000, 28.000000,
CH0006234014, 29.12.2025, 13:54, 18.700000, 14.000000,
CH0006234014, 29.12.2025, 15:03, 20.000000, 7.000000,
CH0006234014, 29.12.2025, 15:03, 20.000000, 93.000000,
CH0006234014, 14.05.2021, 09:44, 28.050000, 56.000000,
CH0006234014, 19.05.2021, 13:14, 28.100000, 5.000000,
CH0006234014, 21.05.2021, 16:17, 28.100000, 195.000000,
CH0006234014, 27.05.2021, 09:11, 28.100000, 105.000000,
CH0006234014, 27.05.2021, 13:48, 28.050000, 305.000000,
CH0006234014, 07.06.2021, 15:49, 28.000000, 450.000000,
CH0006234014, 09.01.2026, 11:17, 19.000000, 21.000000,
CH0006234014, 09.01.2026, 15:16, 18.900000, 28.000000,
CH0006234014, 09.06.2021, 12:03, 28.000000, 56.000000,
CH0006234014, 09.01.2026, 11:17, 18.900000, 7.000000,
CH0006234014, 21.06.2021, 15:16, 30.000000, 587.000000,
CH0006234014, 23.06.2021, 08:31, 30.000000, 387.000000,
CH0006234014, 21.06.2021, 15:16, 30.000000, 113.000000,
CH0006234014, 14.01.2026, 14:23, 19.500000, 100.000000,
CH0006234014, 14.01.2026, 15:06, 19.500000, 500.000000,
CH0006234014, 23.06.2021, 16:22, 30.000000, 7.000000,
