Isin, Datum, Zeit, Kurs, Volumen, Off Book
CH0009438109, 22.04.2021, 09:31, 1960.000000, 1.000000,
CH0009438109, 29.04.2021, 08:31, 1960.000000, 4.000000,
CH0009438109, 29.04.2021, 10:07, 2050.000000, 33.000000,
CH0009438109, 29.04.2021, 16:03, 1960.000000, 24.000000,
CH0009438109, 21.05.2021, 09:59, 1965.000000, 5.000000,
CH0009438109, 21.05.2021, 16:18, 1965.000000, 5.000000,
CH0009438109, 21.05.2021, 16:18, 1965.000000, 2.000000,
CH0009438109, 21.05.2021, 16:22, 1960.000000, 50.000000,
CH0009438109, 04.06.2021, 12:48, 1960.000000, 39.000000,
CH0009438109, 16.01.2026, 11:20, 2340.000000, 2.000000,
CH0009438109, 26.07.2021, 09:25, 1975.000000, 2.000000,
CH0009438109, 26.07.2021, 15:14, 1975.000000, 1.000000,
CH0009438109, 28.07.2021, 12:40, 1960.000000, 10.000000,
CH0009438109, 30.07.2021, 09:08, 1960.000000, 1.000000,
CH0009438109, 30.07.2021, 09:08, 1960.000000, 19.000000,
CH0009438109, 05.08.2021, 11:18, 1965.000000, 2.000000,
CH0009438109, 31.08.2021, 10:22, 1965.000000, 10.000000,
CH0009438109, 02.09.2021, 10:52, 1965.000000, 5.000000,
CH0009438109, 20.09.2021, 15:24, 1965.000000, 2.000000,
CH0009438109, 15.11.2021, 11:04, 2095.000000, 4.000000,
CH0009438109, 05.01.2022, 10:46, 2203.000000, 2.000000,
CH0009438109, 01.02.2022, 09:06, 2203.000000, 1.000000,
CH0009438109, 01.02.2022, 10:20, 2179.000000, 1.000000,
CH0009438109, 04.02.2022, 11:32, 2245.000000, 10.000000,
CH0009438109, 09.05.2022, 15:04, 2155.000000, 1.000000,
CH0009438109, 13.05.2022, 14:18, 2245.000000, 15.000000,
CH0009438109, 16.05.2022, 08:32, 2245.000000, 25.000000,
CH0009438109, 02.06.2022, 11:47, 2245.000000, 25.000000,
CH0009438109, 03.06.2022, 08:32, 2245.000000, 25.000000,
CH0009438109, 13.06.2022, 10:40, 2180.000000, 2.000000,
CH0009438109, 21.06.2022, 14:01, 2245.000000, 15.000000,
CH0009438109, 02.08.2022, 11:59, 2175.000000, 5.000000,
CH0009438109, 21.09.2022, 09:04, 2205.000000, 32.000000,
CH0009438109, 29.09.2022, 09:22, 2205.000000, 10.000000,
CH0009438109, 25.10.2022, 15:22, 2295.000000, 3.000000,
CH0009438109, 14.11.2022, 10:20, 2295.000000, 2.000000,
CH0009438109, 27.12.2022, 12:17, 2205.000000, 2.000000,
CH0009438109, 26.01.2023, 15:48, 2250.000000, 10.000000,
CH0009438109, 26.01.2023, 15:48, 2295.000000, 15.000000,
